geometry,CCDD,Departamento,CCPP,Provincia,CCDI,Distrito,Capital
"{""type"":""Polygon"",""coordinates"":[[[-70.524574,-16.347492],[-70.52715,-16.366811],[-70.536926,-16.370623],[-70.552185,-16.364686],[-70.56906,-16.366022],[-70.588492,-16.374434],[-70.60775,-16.37358],[-70.611877,-16.361891],[-70.605514,-16.347125],[-70.616551,-16.335069],[-70.61451,-16.327177],[-70.650542,-16.322544],[-70.661867,-16.338972],[-70.686744,-16.359742],[-70.712038,-16.36699],[-70.723546,-16.35822],[-70.73916,-16.35713],[-70.74182,-16.37568],[-70.75355,-16.38676],[-70.75849,-16.41308],[-70.766533,-16.421047],[-70.758697,-16.436348],[-70.758985,-16.448382],[-70.766794,-16.465536],[-70.755006,-16.490852],[-70.753163,-16.531683],[-70.746166,-16.543229],[-70.730386,-16.555422],[-70.727844,-16.572842],[-70.69965,-16.56928],[-70.68004,-16.5474],[-70.65455,-16.54877],[-70.6342,-16.55778],[-70.60303,-16.54808],[-70.59219,-16.56011],[-70.57747,-16.56531],[-70.56278,-16.56388],[-70.5379,-16.55338],[-70.51965,-16.55985],[-70.51238,-16.55456],[-70.47204,-16.55602],[-70.463721,-16.552317],[-70.445632,-16.532496],[-70.431216,-16.525842],[-70.418098,-16.530529],[-70.396633,-16.523763],[-70.371307,-16.496537],[-70.36399,-16.494191],[-70.359748,-16.477639],[-70.329957,-16.462154],[-70.312939,-16.461578],[-70.30684,-16.451135],[-70.316735,-16.444399],[-70.315893,-16.431591],[-70.333402,-16.411447],[-70.350322,-16.415716],[-70.361549,-16.410262],[-70.370566,-16.418191],[-70.404404,-16.421228],[-70.410813,-16.413312],[-70.430303,-16.412679],[-70.444922,-16.404054],[-70.471627,-16.378422],[-70.480949,-16.35743],[-70.5019,-16.346018],[-70.509086,-16.352281],[-70.524574,-16.347492]]]}",18,Moquegua,2,General Sánchez Cerro,2,Chojata,CHOJATA
"{""type"":""Polygon"",""coordinates"":[[[-70.979523,-16.480574],[-70.992454,-16.495867],[-71.015938,-16.494915],[-71.018326,-16.487415],[-71.037258,-16.485686],[-71.047462,-16.46044],[-71.07827,-16.458565],[-71.093399,-16.46229],[-71.086486,-16.466143],[-71.080826,-16.483498],[-71.068453,-16.502354],[-71.079246,-16.519671],[-71.081776,-16.534773],[-71.111111,-16.554461],[-71.125648,-16.588832],[-71.116898,-16.610658],[-71.094783,-16.627086],[-71.071746,-16.660488],[-71.063036,-16.661758],[-71.059715,-16.681486],[-71.050977,-16.701982],[-71.01718,-16.691574],[-71.004556,-16.673749],[-71.007889,-16.649191],[-71.000245,-16.638145],[-71.002393,-16.591867],[-70.996753,-16.575562],[-70.998286,-16.555762],[-70.980723,-16.538439],[-70.968834,-16.512586],[-70.979523,-16.480574]]]}",18,Moquegua,2,General Sánchez Cerro,3,Coalaque,COALAQUE
"{""type"":""Polygon"",""coordinates"":[[[-70.443112,-16.034467],[-70.463055,-16.049622],[-70.48256,-16.039475],[-70.507714,-16.037775],[-70.526075,-16.026723],[-70.549293,-15.995184],[-70.562891,-15.982501],[-70.56997,-15.98898],[-70.58749,-15.98794],[-70.61237,-15.99477],[-70.62477,-16.00302],[-70.64332,-15.98974],[-70.66918,-16.01378],[-70.66416,-16.03431],[-70.65764,-16.03584],[-70.65866,-16.06103],[-70.66991,-16.08245],[-70.67642,-16.10309],[-70.66938,-16.11708],[-70.67031,-16.13378],[-70.65941,-16.15143],[-70.66333,-16.16997],[-70.64675,-16.15403],[-70.633821,-16.170809],[-70.621851,-16.196733],[-70.598257,-16.229305],[-70.584441,-16.238605],[-70.572883,-16.226057],[-70.548789,-16.222057],[-70.546098,-16.240106],[-70.517354,-16.265622],[-70.527109,-16.282911],[-70.528656,-16.299652],[-70.542833,-16.326407],[-70.52517,-16.341295],[-70.524574,-16.347492],[-70.509086,-16.352281],[-70.5019,-16.346018],[-70.480949,-16.35743],[-70.471627,-16.378422],[-70.444922,-16.404054],[-70.430303,-16.412679],[-70.410813,-16.413312],[-70.404404,-16.421228],[-70.370566,-16.418191],[-70.361549,-16.410262],[-70.356554,-16.400271],[-70.382114,-16.384955],[-70.370595,-16.36865],[-70.357817,-16.368317],[-70.348325,-16.354771],[-70.338758,-16.322798],[-70.3478,-16.290837],[-70.340376,-16.268832],[-70.345135,-16.256102],[-70.327838,-16.234819],[-70.324529,-16.215913],[-70.331603,-16.202557],[-70.340279,-16.200903],[-70.359196,-16.20863],[-70.36882,-16.198983],[-70.373753,-16.175917],[-70.389651,-16.156237],[-70.401942,-16.14903],[-70.408302,-16.120796],[-70.40666,-16.10166],[-70.402876,-16.089065],[-70.40979,-16.076346],[-70.435069,-16.060151],[-70.443112,-16.034467]]]}",18,Moquegua,2,General Sánchez Cerro,4,Ichuña,ICHUÑA
"{""type"":""Polygon"",""coordinates"":[[[-71.14559,-16.85874],[-71.165139,-16.840738],[-71.155502,-16.819916],[-71.139697,-16.807178],[-71.15075,-16.788275],[-71.145264,-16.744045],[-71.153352,-16.716555],[-71.156045,-16.679928],[-71.180955,-16.676738],[-71.185344,-16.665853],[-71.202203,-16.65198],[-71.210029,-16.661678],[-71.23334,-16.67863],[-71.23549,-16.688887],[-71.246928,-16.693299],[-71.271355,-16.716637],[-71.285812,-16.716354],[-71.289093,-16.726458],[-71.311432,-16.73868],[-71.327568,-16.752256],[-71.346985,-16.742243],[-71.353287,-16.724953],[-71.36943,-16.719677],[-71.39456,-16.7312],[-71.4071,-16.73011],[-71.42594,-16.74142],[-71.42969,-16.75134],[-71.42939,-16.77473],[-71.43646,-16.79563],[-71.443711,-16.804678],[-71.440854,-16.86128],[-71.435054,-16.879297],[-71.422141,-16.896395],[-71.424172,-16.919755],[-71.44135,-16.93242],[-71.45597,-16.93419],[-71.465942,-16.950569],[-71.459541,-16.960819],[-71.444885,-16.956476],[-71.434357,-16.960295],[-71.422096,-16.95508],[-71.405792,-16.955835],[-71.401298,-16.969847],[-71.39092,-16.98049],[-71.37752,-16.974029],[-71.35641,-16.97829],[-71.34522,-16.96723],[-71.34845,-16.94838],[-71.33302,-16.94347],[-71.31283,-16.95077],[-71.30368,-16.9582],[-71.285792,-16.942764],[-71.25435,-16.93717],[-71.24054,-16.9267],[-71.21845,-16.9254],[-71.1939,-16.90251],[-71.16938,-16.90697],[-71.15862,-16.8941],[-71.155961,-16.871912],[-71.14559,-16.85874]]]}",18,Moquegua,2,General Sánchez Cerro,5,La Capilla,LA CAPILLA
"{""type"":""Polygon"",""coordinates"":[[[-70.524574,-16.347492],[-70.52517,-16.341295],[-70.542833,-16.326407],[-70.528656,-16.299652],[-70.527109,-16.282911],[-70.517354,-16.265622],[-70.546098,-16.240106],[-70.548789,-16.222057],[-70.572883,-16.226057],[-70.584441,-16.238605],[-70.598257,-16.229305],[-70.612701,-16.244441],[-70.614205,-16.272555],[-70.630555,-16.281637],[-70.64682,-16.27842],[-70.666031,-16.265994],[-70.685349,-16.272752],[-70.687677,-16.263365],[-70.71088,-16.255556],[-70.73093,-16.25427],[-70.74553,-16.26083],[-70.75228,-16.27455],[-70.746482,-16.292541],[-70.736111,-16.345928],[-70.73916,-16.35713],[-70.723546,-16.35822],[-70.712038,-16.36699],[-70.686744,-16.359742],[-70.661867,-16.338972],[-70.650542,-16.322544],[-70.61451,-16.327177],[-70.616551,-16.335069],[-70.605514,-16.347125],[-70.611877,-16.361891],[-70.60775,-16.37358],[-70.588492,-16.374434],[-70.56906,-16.366022],[-70.552185,-16.364686],[-70.536926,-16.370623],[-70.52715,-16.366811],[-70.524574,-16.347492]]]}",18,Moquegua,2,General Sánchez Cerro,6,Lloque,LLOQUE
"{""type"":""Polygon"",""coordinates"":[[[-70.75355,-16.38676],[-70.772684,-16.375713],[-70.795461,-16.379236],[-70.810892,-16.373565],[-70.811915,-16.400631],[-70.807655,-16.413264],[-70.825478,-16.420881],[-70.846283,-16.447073],[-70.876223,-16.434207],[-70.893504,-16.440988],[-70.902802,-16.418814],[-70.899905,-16.410538],[-70.905431,-16.388534],[-70.946663,-16.389751],[-70.963829,-16.39974],[-70.975243,-16.412165],[-70.973701,-16.425865],[-70.964828,-16.4463],[-70.952926,-16.460989],[-70.955437,-16.471626],[-70.967201,-16.48111],[-70.979523,-16.480574],[-70.968834,-16.512586],[-70.944158,-16.531303],[-70.92448,-16.525847],[-70.912698,-16.568982],[-70.915871,-16.589246],[-70.871461,-16.585303],[-70.878197,-16.596309],[-70.869217,-16.602178],[-70.862654,-16.620408],[-70.849803,-16.631096],[-70.845348,-16.675069],[-70.836441,-16.689881],[-70.795981,-16.716359],[-70.77927,-16.71654],[-70.77113,-16.68068],[-70.77072,-16.66175],[-70.76395,-16.63464],[-70.7522,-16.62467],[-70.74267,-16.62788],[-70.72049,-16.61936],[-70.70662,-16.6004],[-70.711953,-16.586963],[-70.727844,-16.572842],[-70.730386,-16.555422],[-70.746166,-16.543229],[-70.753163,-16.531683],[-70.755006,-16.490852],[-70.766794,-16.465536],[-70.758985,-16.448382],[-70.758697,-16.436348],[-70.766533,-16.421047],[-70.75849,-16.41308],[-70.75355,-16.38676]]]}",18,Moquegua,2,General Sánchez Cerro,7,Matalaque,MATALAQUE
"{""type"":""Polygon"",""coordinates"":[[[-70.915871,-16.589246],[-70.912698,-16.568982],[-70.92448,-16.525847],[-70.944158,-16.531303],[-70.968834,-16.512586],[-70.980723,-16.538439],[-70.998286,-16.555762],[-70.996753,-16.575562],[-71.002393,-16.591867],[-71.000245,-16.638145],[-71.007889,-16.649191],[-71.004556,-16.673749],[-71.01718,-16.691574],[-71.050977,-16.701982],[-71.034295,-16.715732],[-71.023414,-16.73051],[-71.013815,-16.755269],[-71.02,-16.7618],[-71.00804,-16.76937],[-70.98854,-16.76507],[-70.973559,-16.75406],[-70.95966,-16.751429],[-70.938642,-16.721673],[-70.922651,-16.713273],[-70.901363,-16.694853],[-70.895864,-16.667695],[-70.905445,-16.643911],[-70.906727,-16.629741],[-70.914963,-16.613824],[-70.915871,-16.589246]]]}",18,Moquegua,2,General Sánchez Cerro,1,Omate,OMATE
"{""type"":""Polygon"",""coordinates"":[[[-71.093399,-16.46229],[-71.110199,-16.465788],[-71.123917,-16.460972],[-71.139519,-16.474974],[-71.157928,-16.470966],[-71.197029,-16.471659],[-71.219139,-16.460566],[-71.242104,-16.463064],[-71.249344,-16.482359],[-71.237068,-16.502115],[-71.242767,-16.525635],[-71.244797,-16.550228],[-71.252754,-16.572567],[-71.26284,-16.584911],[-71.261505,-16.606663],[-71.273178,-16.607017],[-71.279152,-16.615822],[-71.280373,-16.657644],[-71.283905,-16.682239],[-71.29364,-16.690559],[-71.296036,-16.707428],[-71.285812,-16.716354],[-71.271355,-16.716637],[-71.246928,-16.693299],[-71.23549,-16.688887],[-71.23334,-16.67863],[-71.210029,-16.661678],[-71.202203,-16.65198],[-71.185344,-16.665853],[-71.180955,-16.676738],[-71.156045,-16.679928],[-71.153352,-16.716555],[-71.145264,-16.744045],[-71.15075,-16.788275],[-71.139697,-16.807178],[-71.155502,-16.819916],[-71.165139,-16.840738],[-71.14559,-16.85874],[-71.11299,-16.81834],[-71.09401,-16.79859],[-71.08392,-16.79315],[-71.07668,-16.77363],[-71.06803,-16.77429],[-71.060916,-16.758604],[-71.034093,-16.753516],[-71.02,-16.7618],[-71.013815,-16.755269],[-71.023414,-16.73051],[-71.034295,-16.715732],[-71.050977,-16.701982],[-71.059715,-16.681486],[-71.063036,-16.661758],[-71.071746,-16.660488],[-71.094783,-16.627086],[-71.116898,-16.610658],[-71.125648,-16.588832],[-71.111111,-16.554461],[-71.081776,-16.534773],[-71.079246,-16.519671],[-71.068453,-16.502354],[-71.080826,-16.483498],[-71.086486,-16.466143],[-71.093399,-16.46229]]]}",18,Moquegua,2,General Sánchez Cerro,8,Puquina,PUQUINA
"{""type"":""Polygon"",""coordinates"":[[[-70.77927,-16.71654],[-70.795981,-16.716359],[-70.836441,-16.689881],[-70.845348,-16.675069],[-70.849803,-16.631096],[-70.862654,-16.620408],[-70.869217,-16.602178],[-70.878197,-16.596309],[-70.871461,-16.585303],[-70.915871,-16.589246],[-70.914963,-16.613824],[-70.906727,-16.629741],[-70.905445,-16.643911],[-70.895864,-16.667695],[-70.901363,-16.694853],[-70.922651,-16.713273],[-70.938642,-16.721673],[-70.95966,-16.751429],[-70.973559,-16.75406],[-70.98854,-16.76507],[-70.96569,-16.77766],[-70.94526,-16.77239],[-70.920442,-16.778004],[-70.902107,-16.777673],[-70.89403,-16.7708],[-70.87893,-16.77485],[-70.857125,-16.770732],[-70.851285,-16.765425],[-70.824644,-16.759756],[-70.816311,-16.74603],[-70.788987,-16.736951],[-70.77927,-16.71654]]]}",18,Moquegua,2,General Sánchez Cerro,9,Quinistaquillas,QUINISTAQUILLAS
"{""type"":""Polygon"",""coordinates"":[[[-70.66918,-16.01378],[-70.69212,-16.02295],[-70.7054,-16.03176],[-70.72859,-16.03141],[-70.74156,-16.01606],[-70.76511,-16.01775],[-70.795352,-15.992397],[-70.796618,-15.97853],[-70.811174,-15.986676],[-70.820198,-15.978468],[-70.82753,-15.98915],[-70.826195,-16.000566],[-70.814869,-16.012167],[-70.820122,-16.031614],[-70.806648,-16.042297],[-70.812569,-16.053961],[-70.856735,-16.056337],[-70.866806,-16.080082],[-70.878105,-16.081444],[-70.875061,-16.094578],[-70.893761,-16.102831],[-70.886131,-16.118141],[-70.86821,-16.126919],[-70.871933,-16.142879],[-70.867828,-16.153866],[-70.878593,-16.166616],[-70.861069,-16.174747],[-70.853889,-16.20248],[-70.866531,-16.218389],[-70.865776,-16.226271],[-70.85051,-16.227982],[-70.853882,-16.241466],[-70.872002,-16.265697],[-70.87648,-16.281553],[-70.886139,-16.285273],[-70.903427,-16.277611],[-70.915787,-16.2824],[-70.93911,-16.298933],[-70.946251,-16.313835],[-70.957016,-16.308403],[-70.98629,-16.30995],[-70.980011,-16.331799],[-70.975571,-16.362238],[-70.969604,-16.372265],[-70.975395,-16.38891],[-70.963829,-16.39974],[-70.946663,-16.389751],[-70.905431,-16.388534],[-70.899905,-16.410538],[-70.902802,-16.418814],[-70.893504,-16.440988],[-70.876223,-16.434207],[-70.846283,-16.447073],[-70.825478,-16.420881],[-70.807655,-16.413264],[-70.811915,-16.400631],[-70.810892,-16.373565],[-70.795461,-16.379236],[-70.772684,-16.375713],[-70.75355,-16.38676],[-70.74182,-16.37568],[-70.73916,-16.35713],[-70.736111,-16.345928],[-70.746482,-16.292541],[-70.75228,-16.27455],[-70.74553,-16.26083],[-70.73093,-16.25427],[-70.73027,-16.23605],[-70.72028,-16.21853],[-70.71065,-16.2175],[-70.68761,-16.19977],[-70.68247,-16.18771],[-70.66333,-16.16997],[-70.65941,-16.15143],[-70.67031,-16.13378],[-70.66938,-16.11708],[-70.67642,-16.10309],[-70.66991,-16.08245],[-70.65866,-16.06103],[-70.65764,-16.03584],[-70.66416,-16.03431],[-70.66918,-16.01378]]]}",18,Moquegua,2,General Sánchez Cerro,10,Ubinas,UBINAS
"{""type"":""Polygon"",""coordinates"":[[[-70.598257,-16.229305],[-70.621851,-16.196733],[-70.633821,-16.170809],[-70.64675,-16.15403],[-70.66333,-16.16997],[-70.68247,-16.18771],[-70.68761,-16.19977],[-70.71065,-16.2175],[-70.72028,-16.21853],[-70.73027,-16.23605],[-70.73093,-16.25427],[-70.71088,-16.255556],[-70.687677,-16.263365],[-70.685349,-16.272752],[-70.666031,-16.265994],[-70.64682,-16.27842],[-70.630555,-16.281637],[-70.614205,-16.272555],[-70.612701,-16.244441],[-70.598257,-16.229305]]]}",18,Moquegua,2,General Sánchez Cerro,11,Yunga,YUNGA
